time,vx,vy,vz,ax,ay,az,gx,gy,gz
0.0,-0.375,0.1875,-1.1875,-0.02958098124402681,0.03644116285868183,0.052156316720107725,9.370869937961858,-0.24847179836567837,-2.850494799520494
0.025734144,-0.3125,0.4375,-1.4375,-0.019025742095099385,0.03675586099545684,0.05414663462673477,9.370875629052934,-0.24881482636547664,-2.8504503220022945
0.032867584,-0.5625,0.5,-1.6875,-0.027586261317556798,0.0543049006994504,0.07292987623461507,9.370872793203443,-0.23866488648509313,-2.850252441498364
0.054866176,-0.5,0.5625,-1.625,-0.027650712387647502,0.07264204798296478,0.07670293366033183,9.380679289011221,-0.2386516554091243,-2.850161612587849
0.080156416,-0.4375,0.5,-1.9375,-0.03695035042978674,0.07018312502353308,0.07470123820744622,9.380685291134855,-0.22751724043939411,-2.8499303889584766
0.095078912,-0.125,0.4375,-1.875,-0.03657724377901846,0.038107107329200265,0.07845869870116376,9.38053916395649,-0.2170508026272521,-2.849849524101855
0.113836032,-0.3125,0.3125,-1.75,-0.036502527176580785,0.03563335421728467,0.0755588911354568,9.380526588368925,-0.21494062790390617,-2.849599775956934
0.14094592,0.125,0.3125,-1.625,-0.01655045725216795,0.031762996674959215,0.10062960538475936,9.380177755511165,-0.20415566266954557,-2.84948380865009
0.157409024,0.375,0.375,-1.6875,-0.01784138734181379,0.02933686532626824,0.08772847254519354,9.380066984380642,-0.20136782368132278,-2.8492103717850417
0.174948608,0.5,0.25,-1.8125,-0.048008540374473815,0.025584830573450863,0.10258042896109353,9.379772391803932,-0.19046371022713235,-2.8491354268965114
0.192918528,0.4375,0.375,-1.875,-0.05008558982893502,0.024537130496699477,0.0981320095670794,9.379782563234398,-0.18718087652939178,-2.8489274759698584
0.212868864,0.9375,0.1875,-1.875,-0.05025927435111165,0.050294018516883365,0.10299385449879206,9.379441488611963,-0.1763134800589123,-2.8488947168690792
0.236124672,0.625,0.4375,-1.6875,-0.03324402343231901,0.059632519060870096,0.08894048436420811,9.37932193758659,-0.17295041378846898,-2.848689000022176
0.25987968,0.5625,0.25,-1.3125,-0.023281481995921467,0.04588252879484242,0.093912940449829,9.378957698679626,-0.1625249926549278,-2.848705751121969
0.279231744,0.6875,0.1875,-1.0625,-0.02683946293801332,0.05732300241403362,0.10855748376561206,9.37898351594638,-0.1594718202304961,-2.848613670929273
0.293757952,0.75,-0.0625,-0.4375,-0.026780338925092316,0.06476059676496443,0.11219805392008497,9.378781070404896,-0.15964487399826124,-2.84878527366297
0.319151872,0.5625,-0.0625,-0.25,-0.03079088394668812,0.06723568102737262,0.10696895706366699,9.378817200776568,-0.15718972657514116,-2.848763531795355
0.334065152,0.4375,0.0625,0.3125,-0.030101747081978776,0.06562286276846924,0.08103327821021804,9.378586932256015,-0.15824429548080152,-2.848984144801002
0.354208,0.5,-0.125,0.625,-0.03367034676625219,0.05976312779046795,0.07571694916481109,9.378665024381462,-0.15673487660928817,-2.849017432260485
0.374082816,0.5625,0.0,0.875,-0.03235323647644188,0.030071425389303165,0.1080482727591602,9.378636038560623,-0.15873389447527259,-2.8494163222446565
0.39393024,0.5625,-0.1875,1.125,-0.05583401203920335,0.025180450116064904,0.10232762583913432,9.378859385257133,-0.16822445147283013,-2.849570013198281
0.418066432,0.6875,-0.25,1.25,-0.05397387122937424,0.01679769910730574,0.09490174573090415,9.378916021111745,-0.171147846305397,-2.850048148161279
0.444127488,0.8125,-0.3125,1.375,-0.05632969719635833,0.02248421200857972,0.09057743356697244,9.379122804276578,-0.1817100476065726,-2.8501490667077634
0.5032512,0.3125,-0.25,1.5,-0.0633939062012487,0.015753891787253716,0.062373156772024686,9.379279227428912,-0.18538104062011132,-2.8506929994350516
0.5301824,0.4375,-0.3125,1.5,-0.06486041835852269,0.021055021954599344,0.08760598437681438,9.379591374846862,-0.18674832881406242,-2.850834067008319
0.554941184,0.75,-0.3125,1.25,-0.041685541981309505,0.035049840317399786,0.05893400181973087,9.37988800854809,-0.20079253892535437,-2.851456594332388
0.572025088,0.9375,-0.3125,1.125,-0.041974751778469016,0.03930144344283526,0.05608607869986875,9.380191933273515,-0.20271847148986974,-2.851462836264329
0.572178432,0.8125,-0.25,1.0625,-0.04810048037539576,0.044337351872848825,0.05819129810999373,9.380495834507641,-0.21677897079558126,-2.852010760070259
0.573681152,0.8125,-0.4375,1.0625,-0.04721398895491781,0.026642582179165788,0.055867745971219955,9.380765659258657,-0.21881378004108967,-2.8518890366312366
0.58300928,0.9375,-0.375,1.0625,-0.03371806098436819,0.011174823223431224,0.06721304691575926,9.381117944719342,-0.2323096888455388,-2.842438930844755
0.59803008,1.0625,-0.375,0.875,-0.032034171573395706,0.030323906349402435,0.06596209742671114,9.38135019208437,-0.23397379185398118,-2.8421218580064718
0.61507968,1.0,-0.3125,0.6875,-0.04870138864156497,0.02487017971779568,0.048643931809296846,9.381654028855928,-0.23648654244839779,-2.8425046504665277
0.634071296,1.0,-0.125,0.5625,-0.04609319225792092,0.02136396445605409,0.04883643785218832,9.381752346727335,-0.24740462922680576,-2.8419314080129685
0.6541888,0.8125,-0.375,0.625,-0.044065215861009824,0.025054247624437923,0.08144050344541909,9.381965363749355,-0.24853813800729613,-2.8422432294718742
0.6799488,0.9375,-0.0625,0.25,-0.0315820800362675,0.017364112012763538,0.10155612246692206,9.381948597185659,-0.2483658248428747,-2.841488219789295
0.692749824,0.625,-0.3125,0.1875,-0.03085853589560876,0.02987353333761595,0.09486079186001924,9.382058704427923,-0.2478689224121612,-2.8416378568339047
0.714827776,0.375,-0.0625,-0.125,-0.017861264741051222,0.009440518401502654,0.0960232019790961,9.381891290449802,-0.24644506050114476,-2.84061028028434
0.739838464,0.25,0.0625,-0.125,-0.018837476833965527,0.021732455048940873,0.050054505366864656,9.38184362909187,-0.24429722581153018,-2.840659273968615
0.754982656,0.25,0.0625,-0.125,-0.01672225995166807,0.06863512993454733,0.050333615037523635,9.38152737159218,-0.2417316420572361,-2.839561764625318
0.772881664,0.125,0.0,0.0,-0.020038820506165574,0.06996625208007383,0.05410110112383297,9.38134252786612,-0.23819028454858848,-2.8395929415929024
0.798801408,0.0,0.1875,-0.0625,-0.028085684428499725,0.01508950920281088,0.07381153144856979,9.380925197760458,-0.23474434817028725,-2.8383986717006975
0.813088768,0.0625,0.1875,-0.0625,-0.04275742889675847,0.006729073404882805,0.07853221538279925,9.380618781620107,-0.2301452075884897,-2.8383773748666963
0.83863424,0.1875,0.25,0.0625,-0.04146433109225967,-0.007911775458097757,0.07709491250962365,9.380128798181351,-0.22625028328097468,-2.8372524974904927
0.855010048,0.0625,0.125,0.0,-0.03830429660094303,-0.005513569270368019,0.09119795749968072,9.379723722242188,-0.2212706976794832,-2.8373711345458834
0.880237824,0.1875,0.0,-0.1875,-0.03766131754687142,-0.019170758032227588,0.08723136317882407,9.379230922950681,-0.21765132647808044,-2.8364559164374046
0.893723648,0.25,0.0625,-0.125,-0.045148520790527794,-0.016051064177093476,0.09148920632455906,9.378801131434981,-0.21298446374435168,-2.836681644762236
0.91401728,0.0,0.0,-0.0625,-0.04439300875416054,-0.026927244112316378,0.07634962078792051,9.378391800822051,-0.21016489463113555,-2.836002740697597
0.939242752,-0.0625,0.0,-0.125,-0.05249003265622885,-0.0217483676965094,0.0810379947701452,9.377982126393869,-0.20640635694368384,-2.8364030838595324
0.954973952,-0.1875,-0.0625,-0.3125,-0.03203364764120859,-0.018291924558052095,0.06299891248752673,9.377698636664283,-0.2050593464835882,-2.8361319526916215
0.983997696,-0.125,-0.1875,-0.25,-0.039642333519649534,-0.002174322531384145,0.0766364384083902,9.377359235638224,-0.20294850128413955,-2.836754172857903
0.998925312,-0.125,-0.125,-0.3125,-0.06839461664654749,0.015259186346355298,0.07659711158889383,9.377293294397102,-0.20355043653699872,-2.8368890276289975
1.013893376,0.0,-0.0625,-0.375,-0.07470437290177198,0.022723008766540254,0.08183400834505133,9.37710094601578,-0.20331646100318054,-2.8376174022839966
1.040251392,0.0,-0.0625,-0.5,-0.07300788620321753,0.016548177874025186,0.06117013017168965,9.37727677221864,-0.2059208084451222,-2.8381331956039273
1.054939904,0.0,-0.125,-0.3125,-0.07754355502864473,0.014765093546925916,0.03609684551065377,9.377207630353569,-0.20770009100098089,-2.8389477871112185
1.081049856,-0.1875,-0.1875,-0.4375,-0.0747622887560195,0.002171271084053251,0.02270839259559195,9.377621843938591,-0.21237637248570507,-2.8398793667489324
1.09691648,-0.125,-0.1875,-0.4375,-0.06670707518496756,0.008236943688977247,0.038314470317214536,9.377725388761416,-0.21601181132897862,-2.8406588133118356
1.112923392,-0.125,-0.1875,-0.5625,-0.06316286389531775,0.030763520382574933,0.036591497031213505,9.378406211371551,-0.22221214994209648,-2.8418147990261673
1.136064,-0.25,-0.25,-0.625,-0.06268649530304365,0.036795383424296925,0.04480033849495317,9.378628217693715,-0.2270054919103982,-2.84232820073955
1.15613184,-0.4375,-0.25,-0.625,-0.06848206275457744,0.05248829095111723,0.03252090222108796,9.379448911288225,-0.23404597786223544,-2.8436528067535516
1.182020096,-0.5,-0.125,-0.875,-0.06536805620705788,0.05235773422793019,0.029710793797529948,9.379725639763,-0.22938354422097165,-2.8438876145235503
1.193747712,-0.375,-0.125,-1.0625,-0.06095918924644815,0.07806684987176378,0.03862244500036749,9.38068339962414,-0.23648327436713493,-2.845275613833813
1.21619328,-0.375,-0.0625,-1.0625,-0.05589463048975268,0.07496121892139643,0.02942650665798119,9.381000434834721,-0.24135832138969093,-2.8449279544526638
1.2397504,-0.4375,-0.1875,-1.25,-0.0519096218704818,0.06362322274630847,0.031858794740445964,9.381938578925743,-0.23738965378053867,-2.8461350065882707
1.252901888,-0.3125,-0.1875,-1.3125,-0.025412481045943933,0.05397513631332579,0.03214649993270159,9.382126058554439,-0.24084536255208314,-2.845211482002684
1.280013056,-0.1875,-0.1875,-1.5625,-0.012500720346252525,0.06788774672902663,0.03463172365990179,9.382962900400454,-0.2350759788754189,-2.8463687370855144
1.293859328,0.0,0.0625,-1.5,-0.005588976334567069,0.07090687280921046,0.02569104612788401,9.383061768646153,-0.23648568719005653,-2.844809945834847
1.319956992,-0.25,-0.3125,-1.4375,-0.004371330766446786,0.045690936302565946,-0.006889775751273584,9.38372655047508,-0.228193579846321,-2.845625693522338
1.342774016,-0.25,0.1875,-1.625,0.0022083176640828647,0.005617045642088377,0.004805587839393203,9.3835581406897,-0.22686287552775675,-2.8433292904351406
1.354071808,0.5625,1.5625,-1.875,-0.028743477931867066,0.01568313634887056,0.05281916312818493,9.383896757989486,-0.21564141173049745,-2.844050734386924
1.376968192,0.4375,1.3125,-2.1875,-0.023548390100382118,0.06713745574219974,0.12178994462360712,9.383547922811058,-0.21162521270534232,-2.84137026667445
1.402867456,0.625,0.9375,-2.3125,-0.026924703845930705,0.07454312116392237,0.12288854061815568,9.383668598368285,-0.1977369283737953,-2.831950812619304
1.418980608,0.6875,0.875,-2.375,-0.023570945595395666,-0.05296883693547019,0.051575976728327116,9.383075075215265,-0.18127566607527346,-2.8287074122523572
1.4341312,1.1875,1.8125,-3.125,-0.03916905279332197,-0.09618449223199578,0.05390482088408265,9.382758720598119,-0.17497714895290878,-2.8292403449792003
1.45408256,2.3125,2.3125,-3.8125,-0.03820034073719383,-0.12722609374756427,0.08780998944478997,9.391954014382671,-0.15673828450028793,-2.816013071223583
1.472939776,4.0,1.8125,-4.6875,-0.02557152260565198,-0.12489526065148718,0.09073562189983149,9.391500488552424,-0.12913513096284499,-2.806852649172796
1.494510592,4.9375,1.5,-5.1875,-0.02686173461143703,-0.162086218567299,0.08247786329434588,9.390721556277452,-0.11035799140204318,-2.8035973816671502
1.51503616,6.0,1.6875,-6.0625,-0.06518315684459737,-0.17641143226855463,0.08649565725765695,9.389978676183471,-0.09242931398154346,-2.794546962346029
1.53587328,6.5625,1.8125,-7.125,-0.06877928476945541,-0.19865817832031865,0.08289223453338342,9.389037371851437,-0.06407191206103294,-2.791645153721988
1.555186688,8.5625,0.875,-8.0,-0.06694653951268906,-0.04566236559777722,0.1855925535218234,9.388204150849893,-0.047067571562607415,-2.7832459569871717
1.573004288,8.625,0.0625,-8.0625,-0.07179309029051172,0.02768910148742966,0.17871753076627206,9.387610644201672,-0.020703814716590236,-2.780938936636899
1.594870784,7.1875,-0.6875,-7.8125,-0.09835817572662892,0.0346750574784596,0.18234687895538032,9.386896437453291,0.004085107993937353,-2.7828494431697943
1.61795584,5.8125,-1.3125,-6.875,-0.10445728373909526,0.06909118027743716,0.2116030734748313,9.386412281393124,0.027662726788138726,-2.791061528473963
1.636864512,5.0625,-2.4375,-6.25,-0.10885792113666581,0.08665655643364757,0.21331927354733804,9.385628720409011,0.0396888556123377,-2.793585662592349
1.654049792,4.3125,-3.3125,-5.3125,-0.07491328597941972,0.14776849103066314,0.1996971978479849,9.385559454601447,0.04963272941321946,-2.8027077882742377
1.678728448,3.25,-4.0,-3.625,-0.05506298667139427,0.15705128333855556,0.12223112291033605,9.375172788553998,0.05802993957629341,-2.815574971653484
1.703861504,2.3125,-4.25,-2.1875,-0.06055587211977441,0.10920252855878111,0.11791554537692481,9.375566348156704,0.05402039551358585,-2.8351668240690273
1.71672448,4.0625,-4.625,-0.875,0.022845108388515986,0.06986951676900545,0.06953735367471447,9.375253427400688,0.049288164757645817,-2.8482150317077686
1.746726912,4.0,-4.75,0.0625,0.017755828220463225,0.11757159659029774,0.004594351621802904,9.36596468455039,0.04196466541091639,-2.8685582322054075
1.772464128,5.625,-4.6875,0.1875,0.015957430467883546,0.04669748886665605,-0.003144505493157741,9.36596701420964,0.02444990472556982,-2.881687928101201
1.795433728,4.5,-4.0,0.875,-0.01732485512904458,0.07036341439234324,-0.04547407735570476,9.357167184661323,0.014156061525426679,-2.892250152019166
