timestamp_ns,wx,wy,wz,ax,ay,az,gx,gy,gz,time_ms_loc
1749119067888964047,-0.1875,-0.375,-0.75,9.720000267028809,-0.4099999964237213,-1.4800000190734863,9.65999984741211,-0.3899999856948852,-1.590000033378601,44667888
1749119067905851041,-0.625,-0.3125,-0.6875,9.710000038146973,-0.4300000071525574,-1.4900000095367432,9.65999984741211,-0.3899999856948852,-1.590000033378601,44667905
1749119067931942533,-0.4375,-0.25,-0.6875,9.729999542236328,-0.4399999976158142,-1.4900000095367432,9.65999984741211,-0.3899999856948852,-1.590000033378601,44667931
1749119067948080668,-0.125,-0.25,-0.625,9.760000228881836,-0.4099999964237213,-1.4800000190734863,9.65999984741211,-0.3899999856948852,-1.590000033378601,44667948
1749119067965114039,-0.4375,-0.125,-0.5625,9.75,-0.4399999976158142,-1.4900000095367432,9.65999984741211,-0.3799999952316284,-1.590000033378601,44667965
1749119067990190106,-0.1875,-0.125,-0.6875,9.699999809265137,-0.4199999868869781,-1.4800000190734863,9.65999984741211,-0.3799999952316284,-1.590000033378601,44667990
1749119068005037078,0.25,0.125,-0.4375,9.699999809265137,-0.4099999964237213,-1.4700000286102295,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668005
1749119068026031906,0.0625,0.0,-0.3125,9.699999809265137,-0.3899999856948852,-1.4500000476837158,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668026
1749119068046386259,-0.25,0.1875,-0.25,9.6899995803833,-0.3899999856948852,-1.4600000381469729,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668046
1749119068070708066,-0.5,0.125,0.0,9.729999542236328,-0.4000000059604645,-1.5,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668070
1749119068086075314,-0.0625,0.1875,-0.0625,9.75,-0.4300000071525574,-1.5,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668086
1749119068104981425,-0.25,0.375,0.0,9.729999542236328,-0.4300000071525574,-1.4800000190734863,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668104
1749119068126131413,-0.0625,0.3125,-0.4375,9.670000076293944,-0.4300000071525574,-1.4700000286102295,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668126
1749119068151899682,0.0,0.25,-0.5,9.729999542236328,-0.4399999976158142,-1.4700000286102295,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668151
1749119068173389836,0.0,0.25,-0.6875,9.6899995803833,-0.4300000071525574,-1.4700000286102295,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668173
1749119068185353279,-0.125,0.125,-0.625,9.75,-0.4000000059604645,-1.4700000286102295,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668185
1749119068207036090,0.125,0.4375,-0.6875,9.729999542236328,-0.3700000047683716,-1.4700000286102295,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668207
1749119068231091135,0.0625,0.375,-0.5625,9.739999771118164,-0.3799999952316284,-1.4800000190734863,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668231
1749119068245039656,0.0625,0.375,-0.3125,9.729999542236328,-0.3600000143051147,-1.4800000190734863,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668245
1749119068264863683,0.0625,0.4375,-0.1875,9.720000267028809,-0.4199999868869781,-1.5,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668264
1749119068287736524,0.1875,0.625,-0.25,9.739999771118164,-0.4199999868869781,-1.4600000381469729,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668287
1749119068305072613,0.3125,0.5,-0.5,9.710000038146973,-0.4399999976158142,-1.4700000286102295,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668305
1749119068330114006,0.375,0.4375,-0.5625,9.720000267028809,-0.4099999964237213,-1.4800000190734863,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668330
1749119068354991619,0.875,0.5,-0.6875,9.720000267028809,-0.3899999856948852,-1.4700000286102295,9.65999984741211,-0.3700000047683716,-1.590000033378601,44668354
1749119068369163884,0.9375,0.5,-0.75,9.729999542236328,-0.3600000143051147,-1.4800000190734863,9.65999984741211,-0.3700000047683716,-1.590000033378601,44668369
1749119068392988531,0.8125,0.4375,-0.625,9.720000267028809,-0.3700000047683716,-1.4500000476837158,9.65999984741211,-0.3700000047683716,-1.590000033378601,44668392
1749119068408922049,0.5,0.5,-0.375,9.75,-0.3700000047683716,-1.4800000190734863,9.65999984741211,-0.3700000047683716,-1.590000033378601,44668408
1749119068434267927,0.5625,0.4375,-0.3125,9.739999771118164,-0.3799999952316284,-1.4600000381469729,9.65999984741211,-0.3700000047683716,-1.590000033378601,44668434
1749119068448052105,0.5,0.5625,-0.0625,9.729999542236328,-0.3499999940395355,-1.4600000381469729,9.65999984741211,-0.3700000047683716,-1.590000033378601,44668448
1749119068464967606,0.3125,0.625,0.0625,9.720000267028809,-0.3899999856948852,-1.4600000381469729,9.65999984741211,-0.3700000047683716,-1.590000033378601,44668464
1749119068488922871,0.6875,0.5,0.0,9.739999771118164,-0.3700000047683716,-1.4500000476837158,9.65999984741211,-0.3700000047683716,-1.590000033378601,44668488
1749119068507866373,0.0625,0.3125,0.5,9.720000267028809,-0.3899999856948852,-1.4700000286102295,9.65999984741211,-0.3700000047683716,-1.590000033378601,44668507
1749119068526110402,0.125,0.375,0.5625,9.720000267028809,-0.3899999856948852,-1.4800000190734863,9.65999984741211,-0.3700000047683716,-1.590000033378601,44668526
1749119068545569786,0.25,0.4375,0.625,9.729999542236328,-0.3799999952316284,-1.4600000381469729,9.65999984741211,-0.3700000047683716,-1.590000033378601,44668545
1749119068568149740,0.125,0.375,0.5625,9.720000267028809,-0.3899999856948852,-1.4700000286102295,9.65999984741211,-0.3700000047683716,-1.590000033378601,44668568
1749119068593250781,0.375,0.375,0.75,9.729999542236328,-0.3700000047683716,-1.440000057220459,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668593
1749119068605424818,0.0625,0.4375,0.75,9.729999542236328,-0.3799999952316284,-1.440000057220459,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668605
1749119068638018760,-0.0625,0.375,0.875,9.720000267028809,-0.4000000059604645,-1.4500000476837158,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668638
1749119068663365406,0.0625,0.375,0.875,9.739999771118164,-0.4000000059604645,-1.440000057220459,9.65999984741211,-0.3799999952316284,-1.590000033378601,44668663
1749119068687978783,0.0625,0.375,0.6875,9.720000267028809,-0.3799999952316284,-1.4800000190734863,9.65999984741211,-0.3899999856948852,-1.590000033378601,44668687
1749119068712951320,0.125,0.3125,0.625,9.710000038146973,-0.3799999952316284,-1.4500000476837158,9.65999984741211,-0.3899999856948852,-1.590000033378601,44668712
1749119068723091884,0.0625,0.3125,0.625,9.760000228881836,-0.3899999856948852,-1.440000057220459,9.65999984741211,-0.3899999856948852,-1.590000033378601,44668723
1749119068724895847,0.1875,0.125,0.8125,9.720000267028809,-0.3700000047683716,-1.4600000381469729,9.65999984741211,-0.3899999856948852,-1.590000033378601,44668724
1749119068744920112,0.125,0.0,0.875,9.720000267028809,-0.4000000059604645,-1.4500000476837158,9.65999984741211,-0.4000000059604645,-1.590000033378601,44668744
1749119068769908538,-0.0625,0.0,1.0,9.720000267028809,-0.3799999952316284,-1.4500000476837158,9.65999984741211,-0.4000000059604645,-1.590000033378601,44668769
1749119068789015191,-0.0625,0.125,1.0625,9.710000038146973,-0.4000000059604645,-1.4500000476837158,9.65999984741211,-0.4000000059604645,-1.590000033378601,44668789
1749119068805213856,-0.4375,0.0625,1.1875,9.729999542236328,-0.4199999868869781,-1.4500000476837158,9.65999984741211,-0.4099999964237213,-1.590000033378601,44668805
1749119068829097914,-0.3125,0.1875,1.0,9.720000267028809,-0.3899999856948852,-1.4600000381469729,9.65999984741211,-0.4099999964237213,-1.590000033378601,44668829
1749119068854066325,-0.0625,0.1875,1.0625,9.699999809265137,-0.4099999964237213,-1.440000057220459,9.65999984741211,-0.4099999964237213,-1.590000033378601,44668854
1749119068879826894,-0.3125,0.0,0.875,9.710000038146973,-0.4199999868869781,-1.4299999475479126,9.65999984741211,-0.4199999868869781,-1.590000033378601,44668879
1749119068895206097,-0.5,-0.125,0.375,9.710000038146973,-0.4399999976158142,-1.440000057220459,9.65999984741211,-0.4199999868869781,-1.590000033378601,44668895
1749119068905893766,-0.375,-0.125,0.25,9.739999771118164,-0.4399999976158142,-1.4500000476837158,9.65999984741211,-0.4199999868869781,-1.590000033378601,44668905
1749119068935190514,-0.5,0.0,-0.0625,9.729999542236328,-0.4199999868869781,-1.4600000381469729,9.65999984741211,-0.4199999868869781,-1.590000033378601,44668935
1749119068960928199,-0.375,-0.125,-0.25,9.729999542236328,-0.4099999964237213,-1.4299999475479126,9.65999984741211,-0.4199999868869781,-1.590000033378601,44668960
1749119068973917988,-0.375,-0.125,-0.25,9.75,-0.4300000071525574,-1.4500000476837158,9.65999984741211,-0.4199999868869781,-1.590000033378601,44668973
1749119068986863097,-0.3125,-0.3125,-0.25,9.710000038146973,-0.3799999952316284,-1.4500000476837158,9.65999984741211,-0.4199999868869781,-1.590000033378601,44668986
1749119069004916723,-0.4375,-0.25,-0.125,9.710000038146973,-0.4000000059604645,-1.4500000476837158,9.65999984741211,-0.4199999868869781,-1.590000033378601,44669004
1749119069030047323,-0.3125,-0.125,-0.125,9.729999542236328,-0.3799999952316284,-1.4600000381469729,9.65999984741211,-0.4199999868869781,-1.590000033378601,44669030
1749119069048057468,-0.4375,-0.1875,-0.1875,9.739999771118164,-0.3899999856948852,-1.440000057220459,9.65999984741211,-0.4199999868869781,-1.590000033378601,44669048
1749119069068075077,-0.5625,-0.25,0.0625,9.729999542236328,-0.4000000059604645,-1.4500000476837158,9.65999984741211,-0.4199999868869781,-1.590000033378601,44669068
1749119069092748446,-0.4375,-0.1875,-0.125,9.710000038146973,-0.3799999952316284,-1.4600000381469729,9.65999984741211,-0.4199999868869781,-1.590000033378601,44669092
1749119069118023507,-0.375,-0.3125,-0.125,9.720000267028809,-0.4099999964237213,-1.4500000476837158,9.65999984741211,-0.4199999868869781,-1.590000033378601,44669118
1749119069125876898,-0.0625,0.0,-0.25,9.75,-0.4099999964237213,-1.4199999570846558,9.65999984741211,-0.4199999868869781,-1.590000033378601,44669125
1749119069147990919,-0.0625,-0.0625,-0.1875,9.720000267028809,-0.3899999856948852,-1.4299999475479126,9.65999984741211,-0.4199999868869781,-1.590000033378601,44669147
1749119069167025476,-0.125,-0.1875,0.0,9.720000267028809,-0.3499999940395355,-1.4500000476837158,9.65999984741211,-0.4199999868869781,-1.590000033378601,44669167
1749119069190141005,-0.1875,-0.25,0.1875,9.720000267028809,-0.3700000047683716,-1.4500000476837158,9.65999984741211,-0.4199999868869781,-1.590000033378601,44669190
1749119069208170842,-0.1875,-0.125,0.3125,9.739999771118164,-0.3499999940395355,-1.4600000381469729,9.65999984741211,-0.4199999868869781,-1.590000033378601,44669208
