time,vx,vy,vz,ax,ay,az,gx,gy,gz
217.298917376,30.875,-12.0625,61.625,-0.6892092143813355,7.7286521684919025,1.5457681295746786,8.242827399544057,-4.348291276783657,-2.4212618521434273
217.324034304,36.3125,-8.875,14.3125,-0.5071785095041754,8.082286910533288,1.045351995040701,8.234012379547936,-4.403293602934055,-2.3944822615037866
217.352191232,38.5,-12.75,-31.1875,-0.47783861472584693,7.816705602837569,0.6308345349875903,8.25002058628867,-4.3866245796947885,-2.363479342803642
217.352400384,40.3125,-13.25,-64.25,0.3160280164146212,7.544151800061285,0.2825060304367416,8.340796374625446,-4.257596296613553,-2.347045051411449
217.371217664,39.25,-13.625,-86.9375,0.16874976890277502,7.266079948123831,-0.917385994018083,8.46381959093499,-4.05558329047971,-2.3470408710437205
217.39494912,3.4375,-15.6875,-78.25,-0.025447876661033278,0.9001848800523793,-1.9233435160972925,8.581783984281932,-3.8400865455906454,-2.351818336906185
217.4208128,3.9375,-25.3125,-29.8125,-0.15935112235012755,-0.13206716223335435,-1.9688707546542816,8.631112742871803,-3.728473971171383,-2.4217463156327015
217.44286976,8.25,-27.25,-41.375,0.48384748487068285,0.14812605417690872,-0.026041253547158638,8.655483865275057,-3.651074842290804,-2.485750326087653
217.453150208,-9.375,-17.8125,-35.0625,1.9114504318730285,-0.9030561494480932,1.5607997215141178,8.69905529795317,-3.55605987825146,-2.5552182767541596
217.478899712,-0.875,-16.0625,-43.6875,2.72981105975609,-0.5580078488536341,2.477427578160322,8.728023928761779,-3.463151952159936,-2.6092563306313363
217.504081152,23.1875,-18.6875,-61.125,2.589989497648978,0.3391643313732546,2.4454395094079326,8.7860677564265,-3.33025178023927,-2.6385454914428963
217.51590144,34.875,-21.5625,-72.125,0.860511761191847,1.835514919261199,0.3204052265468867,8.841317878195666,-3.175954258269874,-2.6713665869426575
217.534976512,53.125,-24.6875,-76.0,-0.5538142091424925,2.4930736528833695,-1.449754191298078,8.89485904675852,-3.0110328640015687,-2.689368779738913
217.560966912,31.375,-19.75,-68.4375,-1.4563792245485083,2.7199335866281484,-1.4059790837245034,8.946302069881025,-2.853119242181086,-2.7110537277145665
217.580386048,-9.4375,-12.5625,-52.0625,-1.6062348411741012,1.4801800869816835,-0.5826090068807865,8.975988155734807,-2.6945581994851335,-2.748662348120745
217.592826368,-24.3125,-9.375,-40.875,-1.1354987806818135,0.5800160763513836,0.2981550800522236,8.996132970155875,-2.549743745759254,-2.799383131770172
217.614075648,-9.875,-14.0625,-36.75,-0.4234192767345512,0.4079174854638584,0.7601412145304707,9.005214914294266,-2.434549939445159,-2.846111213234945
217.638247168,4.8125,-18.8125,-32.8125,-0.022736787148080917,1.2221782853308558,0.7897038741472993,9.006068072931772,-2.342178842673039,-2.905535245080607
217.65473664,3.0,-19.125,-27.4375,-0.16653032433605222,1.0847934522076006,0.19347988268578908,9.005485461890782,-2.252341628556831,-2.951910251164125
217.672374016,-6.75,-16.0625,-23.1875,-0.4985040985471539,0.9733122033431671,-0.3622795571247711,8.998338560659771,-2.1741718935799885,-3.0108625414598182
217.701003008,-18.75,-10.3125,-19.6875,-0.7691059911661134,0.7406368529214505,-0.5641880250068403,8.990592512115894,-2.0901597311995332,-3.057463585842101
217.717972736,-31.8125,-3.25,-18.5,-0.7072418563859035,0.659549119347479,-0.5280981249540088,8.997834009206658,-2.006839357202573,-3.086125072505887
217.746050304,-42.0625,1.1875,-19.25,-0.9514316006959963,0.03329569783473884,0.04179917666973111,9.014129290356433,-1.9014611061150875,-3.1130976980163374
217.771055872,-42.6875,4.0625,-23.375,-0.8417227969228076,0.03254295877223526,0.2925545696585508,9.025708876222408,-1.777310573712405,-3.1318217357586233
217.79485184,-36.9375,3.9375,-28.5625,-0.9615895035513649,0.19328282868536412,0.2734685432359937,9.056085450030565,-1.6540983571762808,-3.1397564276884546
217.820196352,-33.125,3.5625,-32.5,-0.929302021292655,0.3343272781342422,0.3036784068290163,9.082330488712646,-1.521265662950344,-3.149215900127917
217.839762432,-31.6875,3.5,-35.625,-1.0341481370022212,0.5149018644611209,0.29006062887452505,9.107021243956687,-1.3719918386511862,-3.148490100621595
217.847023616,-28.6875,3.75,-36.25,-1.0227808607761115,0.7448159292828338,0.29184270944974183,9.137059352140357,-1.2332167950981667,-3.158649685102679
217.874030592,-25.5625,4.5,-35.0,-0.9887094719855825,0.8361578041972173,0.26257068250886867,9.164481016568798,-1.1005247157972684,-3.1589984665759028
217.883982848,-24.3125,4.8125,-33.4375,-0.9045361682823402,0.8513702418612169,0.3222871079967822,9.19645869639475,-0.9775601758456322,-3.1499580834276752
217.8939456,-20.6875,3.625,-31.5,-0.8646581010354883,0.8771455222347335,0.3192348205157994,9.225199712435483,-0.8716584913631952,-3.151760316827807
217.914212608,-18.8125,2.75,-29.75,-0.8641860406291537,0.882242169501091,0.3034643335830028,9.247610500421684,-0.764446264278983,-3.1436861930366953
217.940863488,-17.5625,1.875,-27.6875,-0.8188273462906249,0.9271774704386828,0.29274969156140396,9.265913685515274,-0.6747649222066128,-3.146292930835611
217.953065472,-18.1875,1.8125,-25.75,-0.8345113052571626,0.7679262451833078,0.2554920230614199,9.286505657667577,-0.5925109295044889,-3.1483032346428326
217.977153024,-17.0625,1.5,-25.625,-0.8057138218970143,0.6347682917517908,0.2651120402063105,9.292415272918255,-0.4971923044028465,-3.161332135113519
217.999053568,-15.9375,0.875,-27.25,-0.8240779839832497,0.30960719627156624,0.26778040320810226,9.309692717161777,-0.4179402076469605,-3.163741191269049
218.01835264,-14.1875,0.375,-31.0,-0.7542613362042548,0.25625058671954276,0.2332807967662156,9.312303702399703,-0.3345405333973683,-3.167090701853356
218.030853888,-12.625,0.25,-35.75,-0.8254083411960201,0.1371168423235174,0.23697794487377044,9.315321021183466,-0.2359299655194299,-3.178871510006657
218.056837888,-10.875,0.125,-41.125,-0.763743659149259,0.3009623623470581,0.2542239010735517,9.313791880346287,-0.13152246953435445,-3.1812345389221055
218.088136448,-9.75,0.0,-46.25,-0.8058511440477325,0.281029511362997,0.2949349862050328,9.312007991135163,-0.0111786440327592,-3.1921850665812053
218.113881856,-8.9375,-0.9375,-49.875,-0.7756907146089809,0.7527082518046619,0.33167214627068475,9.306646627119902,0.1361859092160185,-3.194262238684581
218.137757184,-9.5625,-1.3125,-52.375,-0.8393525533376491,0.7164537043376584,0.23340809651084707,9.2909151701026,0.28935549906678715,-3.19458821444582
218.16309248,-11.875,-2.125,-53.4375,-0.7939651318157592,0.9567385511156138,0.2483582117275707,9.272786615133851,0.45091638826582825,-3.1952207711782727
218.164866304,-15.9375,-2.875,-52.8125,-0.6403779742072331,0.8869950000515134,0.21792299947775554,9.24406576622754,0.6177105257065918,-3.2037341230900367
218.172860928,-18.8125,-3.0625,-52.3125,-0.5134410887476101,0.9686813230303687,0.2583256934382918,9.224383859124938,0.7835267265320363,-3.203335655134455
218.198347264,-20.5,-2.6875,-51.6875,-0.40279431754788303,0.6732026435843044,0.23682670081049517,9.184401139251145,0.9624733947358134,-3.201700707170235
218.222686976,-21.9375,-1.375,-51.6875,-0.17386293632774352,0.7086245545813321,0.2744183560250012,9.155311624314107,1.1304497741832251,-3.2010137822292766
218.236006656,-24.25,-0.6875,-51.4375,-0.21960398108385581,0.6311259226266877,0.22958505785647038,9.126117738218348,1.3094385872495724,-3.188196122070484
218.253084928,-26.0625,0.3125,-52.375,-0.20685894491326134,0.3003382057326992,0.19955606795175554,9.0892029144122,1.4776493401371587,-3.1762607276050563
218.27905024,-28.9375,1.1875,-54.4375,-0.04575163658985963,0.3775502062554646,0.15339616037811907,9.052132023800791,1.6640054599901146,-3.1534160286135497
218.293957632,-27.6875,3.375,-58.1875,0.08093803382816424,-0.23281914806046175,0.19805196844292206,9.008806612678784,1.8587706573498808,-3.1227131660021947
218.316062208,-28.1875,2.625,-61.75,0.3297054764961249,-0.3069511993971847,0.6253240819535112,8.965490968330995,2.048733678928267,-3.090876529628371
218.333296384,-25.5625,2.3125,-65.25,0.5324826449531055,-0.5319145260198167,0.6511420340253213,8.9169404181172,2.247346911452769,-3.0602973805078753
218.356099072,-21.0625,2.6875,-70.5625,0.7315651028321967,-0.7175607872160376,0.3302575935547175,8.857777516295773,2.459445462636086,-3.0285894688771955
