timestamp_ns,wx,wy,wz,ax,ay,az,gx,gy,gz,time_ms_loc
1749118381684181755,37.75,-7.1875,-24.0,9.550000190734863,-1.0700000524520874,-1.940000057220459,9.539999961853027,-1.25,-1.850000023841858,43981684
1749118381707949598,36.3125,-7.125,-23.0625,9.489999771118164,-1.1699999570846558,-2.059999942779541,9.550000190734863,-1.2300000190734863,-1.850000023841858,43981707
1749118381720849690,30.625,-6.5625,-19.9375,9.6899995803833,-0.7300000190734863,-1.8200000524520876,9.550000190734863,-1.159999966621399,-1.8600000143051147,43981720
1749118381741661108,26.8125,-5.75,-18.0,9.65999984741211,-0.8899999856948853,-1.600000023841858,9.5600004196167,-1.1100000143051147,-1.870000004768372,43981741
1749118381767965421,26.0625,-5.75,-16.875,9.649999618530272,-0.8299999833106995,-1.590000033378601,9.5600004196167,-1.090000033378601,-1.870000004768372,43981767
1749118381782257661,23.625,-5.1875,-14.4375,9.710000038146973,-1.0199999809265137,-1.6799999475479126,9.5600004196167,-1.0399999618530271,-1.8899999856948853,43981782
1749118381811083462,24.0625,-5.4375,-13.625,9.579999923706056,-1.0399999618530271,-1.7999999523162842,9.5600004196167,-1.0199999809265137,-1.8899999856948853,43981811
1749118381821982194,24.625,-5.625,-12.375,9.449999809265137,-0.8600000143051147,-2.0,9.5600004196167,-0.9900000095367432,-1.899999976158142,43981821
1749118381847012150,23.75,-6.6875,-10.875,9.5,-0.8899999856948853,-1.8200000524520876,9.5600004196167,-0.9700000286102296,-1.919999957084656,43981847
1749118381858918882,23.4375,-7.3125,-10.4375,9.479999542236328,-0.7799999713897705,-1.7300000190734863,9.5600004196167,-0.959999978542328,-1.919999957084656,43981858
1749118381882990063,23.125,-8.6875,-9.0,9.5600004196167,-1.3300000429153442,-1.7999999523162842,9.5600004196167,-0.9300000071525574,-1.950000047683716,43981882
1749118381906776975,24.1875,-8.9375,-9.0625,9.510000228881836,-1.440000057220459,-1.870000004768372,9.5600004196167,-0.9300000071525574,-1.9700000286102293,43981906
1749118381927031560,24.375,-7.875,-10.5625,9.649999618530272,-1.0299999713897705,-1.850000023841858,9.550000190734863,-0.8999999761581421,-1.9900000095367432,43981927
1749118381941067589,22.25,-7.5,-10.0625,9.5600004196167,-0.8500000238418579,-1.8600000143051147,9.550000190734863,-0.8899999856948853,-2.009999990463257,43981941
1749118381965011570,20.625,-6.625,-9.6875,9.6899995803833,-0.4199999868869781,-1.6699999570846558,9.550000190734863,-0.8799999952316284,-2.0199999809265137,43981965
1749118381982039681,9.875,-4.25,-7.25,9.75,-0.8299999833106995,-1.7799999713897705,9.550000190734863,-0.8500000238418579,-2.0299999713897705,43981982
1749118382003916761,8.4375,-4.0,-6.5,9.630000114440918,-0.8999999761581421,-1.830000042915344,9.550000190734863,-0.8399999737739563,-2.039999961853028,43982003
1749118382025203144,10.625,-4.3125,-5.75,9.4399995803833,-0.8700000047683716,-2.119999885559082,9.550000190734863,-0.8199999928474426,-2.059999942779541,43982025
1749118382043134255,10.4375,-5.25,-4.5625,9.34000015258789,-1.0,-2.309999942779541,9.539999961853027,-0.8199999928474426,-2.069999933242798,43982043
1749118382085466266,10.875,-5.875,-4.0,9.300000190734863,-1.0800000429153442,-2.3499999046325684,9.539999961853027,-0.8100000023841858,-2.0799999237060547,43982085
1749118382112321290,11.5625,-4.3125,-3.0,9.640000343322754,-0.5799999833106995,-1.830000042915344,9.539999961853027,-0.8100000023841858,-2.0999999046325684,43982112
1749118382137260300,9.625,-4.3125,-2.125,9.699999809265137,-0.6899999976158142,-1.7999999523162842,9.539999961853027,-0.8100000023841858,-2.0999999046325684,43982137
1749118382162379392,10.625,-4.6875,-1.625,9.630000114440918,-0.9900000095367432,-1.840000033378601,9.529999732971191,-0.8100000023841858,-2.119999885559082,43982162
1749118382188153273,13.1875,-4.625,-2.625,9.59000015258789,-0.7300000190734863,-1.7899999618530271,9.529999732971191,-0.8100000023841858,-2.130000114440918,43982188
1749118382199121306,11.9375,-4.375,-2.8125,9.729999542236328,-0.7699999809265137,-1.690000057220459,9.529999732971191,-0.8100000023841858,-2.130000114440918,43982199
