Collezione 1,Collezione 2,Collezione 3
5.31415,0.590675,0.598757
0.49062,2.34233,2.33495
0.742884,0.0200995,0.283003
2.44399,0.599684,0.599843
5.72152,2.33543,2.32278
9.30704,1.11517,1.77304
14.6419,0.62224,0.623697
9.1835,2.49864,2.49981
0.692762,5.32527,5.31345
2.34336,9.39821,9.40675
5.33057,14.6312,14.6699
9.30301,0.0708402,2.60825
14.6334,0.881676,0.820784
21.1022,2.39471,2.38879
27.4506,5.32472,5.28949
1.79254,9.32685,1.82947
1.0312,14.8156,0.936351
2.33652,5.98392,2.45911
5.46885,0.590718,5.24639
6.1568,2.45431,2.88318
0.257071,5.42554,0.829149
3.04233,9.33953,2.37659
42.6949,14.5135,5.23706
5.87355,21.0086,9.43913
13.2972,28.5979,14.7209
4.03409,1.91051,21.0624
3.15133,5.07791,28.807
0.754192,2.00367,14.9123
1.92632,6.13679,5.32284
0.107585,0.601658,0.888244
0.0116569,3.20411,2.42905
0.0321596,5.0337,5.45142
0.23238,2.17925,1.62979
0.221136,1.33107,0.958972
0.609413,0.06222,0.0112674
2.44791,0.599358,0.603884
0.00223658,0.35705,0.655821
0.376146,0.672235,0.677316
0.750631,0.998816,0.939381
2.64153,0.4407,0.456566
5.46754,1.33608,1.43603
9.66519,1.54504,1.75744
14.6767,0.253027,0.327867
0.785574,0.947548,0.981204
1.36905,2.22559,1.92165
2.90122,1.98049,1.86378
5.75454,0.102764,0.178113
9.66154,1.0178,0.977753
14.9238,0.897897,0.775675
21.0942,1.33532,1.41557
28.834,0.594705,0.668583
1.20193,1.22245,1.12813
0.595896,0.585931,0.588778
2.33584,0.538508,0.547493
1.21513,0.00200036,0.0119435
0.0237275,0.589236,0.586274
0.605008,0.516723,0.747625
2.34024,0.0205194,0.0169793
1.21655,0.618565,0.0344479
0.0242004,1.46351,0.346344
85.5022,0.62052,0.63106
0.236635,0.81657,1.24704
51.3656,0.595043,0.590605
0.799549,2.36244,2.37307
2.90252,5.25858,5.25779
0.772041,0.032349,0.442659
2.4453,0.596991,0.597323
5.44833,2.34378,2.3447
9.41105,5.26182,5.26429
