Collezione 1,Collezione 2,Collezione 3
0.202197,0.298313,0.594134
0.0436177,0.584279,2.61118
0.909704,2.33221,1.23122
5.13953,5.25764,2.92012
5.2267,0.459578,5.48634
9.4887,0.105726,9.58169
14.7528,0.600497,14.691
21.1928,0.188461,21.2791
30.5911,0.0760425,28.6978
63.9477,0.321253,38.2442
64.965,0.894569,31.6206
49.836,4.75771,32.0289
3.35243,4.74601,0.62037
4.19221,1.79422,4.25805
4.07265,3.02476,0.915326
1.5429,0.161262,1.40151
2.98089,1.18402,4.24237
5.63434,0.0978209,19.4448
10.0691,0.734855,3.42778
15.341,1.15197,4.83416
21.6373,1.42015,2.44906
3.21654,0.156172,10.5346
1.19736,1.19331,0.44247
2.63386,0.619552,11.2594
5.81032,1.35165,3.97084
9.6095,0.5864,3.69894
14.9352,2.321,1.06911
21.5291,0.0339557,5.09123
2.51649,0.0948204,1.3581
0.627853,0.667753,0.78718
2.34578,2.36117,0.51634
1.04449,5.35989,0.0149577
0.010013,9.39361,0.127482
0.612463,5.11788,0.605002
2.37258,0.605882,0.200119
1.88567,3.12209,0.587113
0.287796,0.0718577,2.36506
0.614434,3.44119,5.24461
2.54656,0.161268,9.33176
0.107581,2.12268,0.762964
0.452499,1.04628,0.590357
0.770791,0.846912,2.37714
0.353563,0.393383,5.28674
0.592955,0.723441,9.54572
2.96782,0.0235524,14.7513
6.0915,0.58457,0.235075
5.70901,0.0785104,1.25876
1.25919,0.43818,0.611137
9.84993,0.742671,2.33666
4.13083,2.39519,0.283116
2.86784,5.47231,0.852723
4.05769,0.738008,0.846677
12.7708,3.56014,1.0313
0.830822,0.592312,0.157823
5.50988,2.3493,0.892647
0.636022,5.26818,0.153706
2.4121,1.21492,0.153892
0.220669,1.00208,0.693047
2.47969,0.98974,0.798251
0.638426,0.738588,0.873787
0.619683,2.87069,3.75853
1.12159,5.36622,0.88115
3.42831,9.82859,3.46253
6.64573,15.5826,5.50583
9.72663,20.9271,9.8537
16.0543,28.5719,14.7089
21.0137,37.3467,21.6993
28.7415,47.3532,28.9394
37.6991,58.3897,37.641
48.8447,127.722,47.764
13.5587,0.76246,59.1865
26.87,14.8694,71.442
0.793893,3.09753,84.7732
43.9568,13.5525,182.441
1.36896,0.811101,5.01453
52.7526,9.61308,34.9497
6.21492,0.434562,21.9809
