Collezione 1,Collezione 2,Collezione 3
18.2364,9.70047,4.57135
7.12065,0.676926,0.670829
10.4603,7.94615,4.71016
6.40762,1.82342,2.32059
6.06924,10.1222,7.0602
5.34949,5.3201,5.75804
0.0239196,3.92163,2.71108
0.143573,4.86503,5.60048
0.654905,0.551089,0.195441
2.35051,1.37814,1.29326
0.0323967,0.58642,0.586116
0.593492,0.356535,0.123732
2.34062,0.584511,0.584843
1.14151,2.35024,2.34933
0.634707,0.20466,0.136167
2.62222,0.652149,0.657824
5.51325,2.41903,2.43715
9.84746,0.648712,0.669744
15.0974,0.973399,1.18124
1.21113,3.73479,4.15984
0.886742,0.383025,0.453226
2.83462,3.45252,3.32902
5.7374,0.657699,0.65307
9.58731,2.32085,2.0314
14.8362,0.595168,0.594724
21.1094,0.00784568,2.36357
28.6681,0.59087,0.203448
1.25199,2.37175,0.61778
0.683196,5.29221,2.37048
2.39146,8.46611,3.40572
5.39707,0.621232,0.162492
9.42703,0.0536996,0.500316
1.60736,1.27465,1.64259
0.0625147,0.0256073,0.0104574
58.4212,0.367902,0.298386
0.712041,0.014522,0.008256
148.468,0.0193361,0.0198398
0.758147,0.602928,0.601032
52.1662,0.266321,0.377427
0.621646,0.656802,0.643817
7.75606,2.12444,2.5905
0.74923,0.590996,0.593716
2.37703,2.35278,2.35991
5.47254,2.03036,2.49436
9.48503,0.614339,0.632307
14.8403,2.33902,2.3391
0.293105,0.782442,1.5911
2.7086,0.622563,0.603987
1.07606,0.147551,0.623412
2.96292,0.0886475,0.631533
0.31399,0.125398,2.36926
1.43037,0.311412,0.392086
0.639117,0.621285,0.151497
2.37649,1.73787,0.207307
0.612288,0.580223,0.0201596
0.892669,0.160048,0.176683
0.638342,0.632923,0.057733
2.3542,2.36953,0.589908
0.0170325,0.801971,0.124075
0.0134342,0.633153,0.620355
0.609386,0.161321,1.16662
0.471179,0.430944,0.28808
0.608418,0.608812,0.0504007
0.0821719,0.359599,0.370319
0.622593,0.598855,0.606783
2.39258,2.37251,0.0220619
