Collezione 1,Collezione 2,Collezione 3
0.00473249,0.665487,0.647604
0.00259544,0.000590187,0.000551437
0.77646,0.872964,0.8219
2.96495,2.82987,2.69676
5.27359,5.35174,5.35543
9.37633,9.45797,9.45905
14.6195,14.6814,14.6894
21.0774,21.1126,21.1413
28.6106,28.6314,4.0337
37.3973,10.9703,0.574209
3.72548,0.657344,0.913447
0.585722,0.609087,0.614855
2.40393,0.047126,0.562183
1.29887,0.599226,0.605625
0.565251,0.510568,1.40828
0.636351,0.593859,0.601242
0.637886,2.37508,0.175123
0.665166,0.0164814,0.586239
1.32792,0.694643,2.44869
0.196462,0.908002,4.52671
1.776,0.626643,0.744964
6.18264,9.01126,0.892706
0.588488,1.00236,0.678328
0.044413,0.556389,0.890989
0.212801,0.314971,0.431237
4.55382,9.43143,9.50201
0.252013,1.31972,0.695911
0.129007,1.07435,2.17375
0.113742,0.178434,0.341377
0.583499,0.334027,0.296152
0.105931,0.235224,0.0607012
0.0274178,1.08379,2.94849
0.621041,0.0319517,0.129847
2.34979,0.601239,0.585863
0.595645,1.01234,0.572245
0.577746,0.0466859,0.791383
2.48628,0.473608,0.907593
5.55363,0.651985,0.640244
9.4143,0.201637,0.301659
1.9951,0.62792,0.654461
0.627421,2.43095,2.41338
2.33846,5.21512,5.20974
5.31861,9.55114,0.345429
9.41558,14.6025,0.739983
1.0778,3.85021,2.46567
0.275999,1.03658,5.6526
3.31489,2.32349,9.2671
14.2882,5.25463,14.5511
0.644099,9.33533,0.536178
5.27734,14.5996,0.587343
0.637011,1.20448,2.34846
4.13148,0.658928,5.3666
0.630905,2.54999,2.47314
5.94073,1.31329,0.872443
1.08433,4.24956,2.44129
11.2479,3.29741,5.36784
4.81961,0.101749,9.5533
29.5833,14.4473,28.186
8.24196,0.892984,0.879285
7.09945,10.3575,9.40659
2.76025,2.22906,1.78497
6.13837,12.4026,11.053
1.85199,4.10359,5.0131
0.790427,5.95259,4.06075
0.183022,5.68523,4.7071
0.579314,2.21241,2.05351
0.387029,3.44422,4.0213
0.581133,0.192613,0.0401335
0.250947,0.675423,0.380535
0.586625,0.590642,0.5941
0.0378282,0.0407136,0.0834687
0.605364,0.621808,0.624647
0.468659,0.0339996,0.045142
0.692589,0.594669,0.598741
2.57589,0.233076,0.201145
5.31954,0.150833,0.207114
9.79929,0.295097,0.455844
14.9064,0.573801,0.562974
21.4726,0.305722,0.17715
1.43095,0.577766,0.564484
0.966623,1.22299,1.48833
2.61246,0.220229,0.169311
5.54426,1.2186,0.89443
9.58197,0.59411,0.596911
14.7174,0.0658701,0.0473274
21.1837,0.0142,0.00562537
0.0356974,0.150704,0.0716071
0.587011,0.591148,0.588531
2.3889,2.43515,2.42854
5.30861,3.08553,11.8713
0.232419,0.592096,0.408216
0.66963,1.2229,1.01093
2.34951,1.83715,1.94738
7.28544,1.44012,1.33329
0.0211265,0.108306,0.0769814
195.608,0.634217,0.632121
0.744806,0.107287,0.0748735
66.514,0.108665,0.106027
0.836191,0.590641,0.585502
2.79534,0.115351,0.0465507
0.736049,0.586255,0.585455
2.37435,0.131338,0.212629
5.47543,0.605882,0.609893
9.47721,2.25744,2.08239
14.8457,0.639458,0.0541261
140.565,2.89162,0.894483
0.884314,0.121292,0.705276
2.85627,2.50584,5.31563
0.779979,1.22992,1.38464
2.57783,0.783805,0.910324
1.47057,0.430304,0.313741
0.294277,0.592564,0.585854
2.57735,2.37433,2.36409
0.514135,3.22787,4.76973
0.50984,0.059587,0.641065
0.466067,0.357646,1.66313
2.09943,0.473656,0.566985
0.589178,0.609599,0.596175
2.35493,0.542534,0.766385
0.677188,0.586347,0.592317
0.0336423,0.293867,1.06228
0.620011,0.587374,0.587351
2.3547,2.3224,2.31252
5.28008,5.27733,5.27115
9.4255,2.0111,5.19474
0.885828,0.908805,0.872153
0.594645,2.21231,2.93062
2.66148,0.969864,0.984937
5.35564,2.54327,2.49049
