Collezione 1,Collezione 2,Collezione 3
0.589274,0.229363,0.0232255
0.216645,0.0657871,0.590507
1.0216,0.605774,3.22454
2.75544,2.34348,5.97087
5.57374,5.27024,10.2639
9.84278,9.35518,14.9062
15.0557,14.6619,21.4775
21.5789,21.0695,4.59016
29.2801,28.672,1.15121
37.7259,37.4857,2.50372
47.7918,47.45,5.29455
58.6016,58.5482,9.60685
71.3913,14.9981,15.2426
84.4967,0.60283,21.1439
98.9523,2.34839,28.6663
114.787,5.24968,37.4291
131.898,9.31671,47.3544
135.285,14.6287,58.687
1.2641,21.0134,70.8074
3.11216,28.701,84.693
5.56838,37.4093,99.7256
10.1422,47.4504,114.885
15.891,58.3925,131.998
21.0733,70.799,149.686
27.1025,84.215,15.7828
6.39375,32.0397,0.537323
70.1065,0.644373,97.0308
0.804893,2.3368,0.617226
69.9497,5.26315,106.862
0.81766,1.24602,0.126441
41.2883,0.589112,104.598
0.957825,2.34183,1.14008
17.6483,5.26907,84.1603
0.963685,9.34233,2.59481
13.5944,40.4862,55.1122
0.82824,0.632879,0.230993
11.035,110.074,58.9534
0.800176,1.07964,1.52786
11.7094,93.4956,55.1939
0.874543,4.04656,2.83958
8.15895,46.5835,35.827
0.805223,4.87921,1.68316
2.66176,72.5452,17.8368
0.700169,8.5572,0.576613
4.69163,14.3384,24.4059
0.644999,0.606307,0.64968
20.4608,22.0044,49.3755
0.637916,1.01359,0.376923
8.9895,31.128,19.6058
0.588396,8.18615,1.20346
77.2115,30.7709,12.9523
0.606095,0.897938,0.122692
0.93287,25.7295,11.4201
1.50306,0.337394,0.584368
71.0689,12.3242,18.5707
1.41318,0.808586,0.590155
0.721867,16.302,13.3606
2.64669,4.01658,0.0152721
9.13392,5.34025,15.7863
1.88015,5.21367,0.758187
29.5827,1.06103,20.4708
4.64625,0.154028,0.47331
25.2772,0.0745707,21.4374
1.13372,0.6058,0.91188
30.5099,0.100384,14.6022
13.4192,0.433375,0.306022
19.9732,0.00734527,15.4657
5.57841,0.680997,2.26392
11.4564,0.993317,7.73686
2.54418,0.323594,0.174868
4.45407,1.28774,5.61612
2.65606,2.55542,1.03509
0.143035,1.59758,1.38407
0.614568,4.16987,3.3338
0.624956,0.87408,0.749483
0.176047,4.3903,0.527706
0.992574,0.608029,0.607851
2.35221,0.968969,1.04171
