Collezione 1,Collezione 2,Collezione 3
0.30195,0.394757,0.361042
0.582626,0.583749,0.582982
2.77077,2.88349,2.45488
5.87501,5.71133,5.29708
9.65075,9.70951,9.49721
14.741,15.0431,14.7741
21.3679,21.2398,21.0876
28.9287,28.7364,28.7125
37.512,22.3547,0.840122
47.4804,0.415385,17.1807
58.232,4.48406,0.882422
78.0427,0.728241,12.3863
0.601239,0.677512,0.757245
4.3712,0.655395,21.9944
0.581597,2.32578,1.51784
6.73219,5.22275,15.7495
0.599519,0.947439,1.50288
12.3412,0.598203,12.1228
0.909665,2.34776,1.37972
5.13973,5.28554,9.12195
0.58308,9.32045,1.35786
52.7094,4.08885,10.8816
0.639226,0.0674048,0.00224569
0.69927,0.0956261,2.9477
0.764003,0.289154,0.598196
6.79809,0.584766,4.54179
1.6186,0.40433,0.0498444
9.4034,0.586235,4.66478
0.481763,0.255944,0.712856
10.5174,0.601004,8.95383
1.73677,0.960714,0.365692
7.58338,0.587573,4.05596
2.55529,0.419878,0.994968
8.98907,0.644003,2.14676
10.3355,2.4023,0.60905
2.491,0.700063,0.390748
3.28491,2.52092,0.233174
0.272367,0.719494,0.692554
0.376837,0.897977,2.59321
0.125704,0.618535,4.43303
1.40571,2.37185,1.07213
0.73118,5.29411,0.722154
1.26402,0.0668318,3.1813
0.63304,0.589251,0.621999
2.41196,2.34821,0.0428124
0.520141,5.25265,3.65069
0.672576,9.39402,0.0940087
7.52059,14.5687,7.58296
0.771043,21.2204,0.644252
4.09216,28.6335,7.27033
0.664646,8.28796,0.587679
0.896217,0.749692,0.469585
10.6661,2.3841,2.59249
0.884971,5.76885,1.39672
2.42893,9.48202,2.71708
6.74413,2.27837,5.48816
9.94786,0.615589,9.74558
15.9335,3.93613,14.8139
42.3177,0.695102,21.3401
0.841746,41.5922,29.2079
2.43396,1.75001,0.48069
6.00606,23.093,1.07082
10.644,5.41167,2.55672
16.5922,61.7648,5.9684
57.1343,2.50798,9.27455
36.9669,21.6379,0.901549
19.7822,2.18895,5.73861
8.4894,5.31295,1.37011
0.0702271,1.63268,0.645103
4.07786,15.1509,2.93727
6.96429,6.67275,5.32668
0.589872,0.412986,6.02771
0.716012,0.118255,0.496287
0.897884,0.908366,3.82822
3.18401,0.0498657,0.578645
6.06298,0.709478,9.51846
10.2,0.619253,7.95107
15.3828,0.573249,5.59603
21.7307,0.0533175,3.29934
29.186,0.105747,7.1338
0.952965,0.806781,4.5112
1.02935,2.64666,2.36154
2.56124,2.32751,2.71024
5.58542,0.374883,1.27501
9.39445,2.16573,2.29076
14.6658,1.21846,0.595793
0.014453,1.57348,0.423129
0.617452,0.589791,0.632903
2.3563,0.0812522,0.421486
5.27767,0.655199,0.586076
3.64202,0.94698,2.34854
0.593712,0.0017635,5.29877
2.40784,0.0367994,2.58118
5.29868,0.596021,0.612268
5.64641,0.319502,2.39495
