Collezione 1,Collezione 2,Collezione 3
9515.05,8569.35,8539.23
9608.45,8564.58,8539.11
9674.9,8582.8,8565.3
9776.52,8547.22,8529.32
9864.1,8581.73,8553.53
9948.66,8496,8473.08
10081.4,8451.69,8435.7
10179.3,8371.17,8355.39
10308.1,8308.02,8287.09
10354.4,8261.49,8249.02
10427.6,8213.89,8215.85
10431.7,8192.67,8190.3
10436.5,8189.12,8179.39
10436.1,8164.07,8156.83
10440.8,8144.44,8142.78
10436,8129.57,8124.83
10445,8118.35,8105.94
10428,8111.67,8104.02
10427.4,8085.73,8084.38
10400.1,8101.63,8102.06
10414.4,8054.2,8045.13
10343.8,8134.33,8138.3
10241.1,8159.79,8178.4
10210.7,8258.73,8280.91
10228.2,8323,8354.21
10156.2,8408.91,8439.27
9999.5,8497.81,8545.71
10003.7,8534.28,8563.73
9975.1,8573.68,8558.15
10040.4,8567.2,8552.72
10073.7,8514,8515.24
10176,8566.97,8547.71
10491.8,8574.96,8503.47
10374.9,8635.71,8584.43
10316,8775.33,8750.33
10144.4,8747.4,8732.17
9965.18,8721.48,8715.92
9830.58,8692.64,8683.96
9617.62,8600.54,8622.44
9570.75,8632.69,8660.1
9381.12,8583.18,8637.85
9463.32,8686.61,8716.74
9593.77,8751.99,8758.61
9587.06,8854.25,8859.42
9621.78,8969.31,8976.29
9578.27,9048.15,9045.18
9556.59,9145.82,9123.1
9481.52,9178.52,9155.54
9380.91,9236.36,9222.07
9369.48,9237.02,9222.87
9308.84,9226.41,9214.04
9341.53,9237.15,9219.22
9303.36,9226.27,9212.67
9393.01,9256.79,9229.48
9443.52,9252.81,9213.23
9549.18,9317.29,9263.98
9588.14,9343.94,9274.56
9755.8,9447.54,9365.38
9940.7,9537.16,9435.38
10090.5,9660.83,9553.03
10162.1,9785.52,9673.52
10352,9891.21,9776.15
10532.8,9989.63,9871.52
10703.4,10071.5,9956.53
10887.6,10145.5,10034.9
10987.2,10202.4,10098.9
11096.1,10260.4,10164.5
11145.7,10296,10204.8
11207.5,10352.6,10269.1
11179.2,10346.2,10267.1
11157.1,10320,10247.4
11146.9,10339.7,10264.4
11169.3,10358.3,10277.1
11132.8,10364.8,10291.1
11131.4,10387,10317.7
11084,10382.7,10318.2
11133.2,10414.9,10349.7
11010.6,10373.7,10317.3
11118.1,10353.7,10303.9
10917.5,10307.8,10266.5
10935.3,10268.6,10229.3
10808.9,10239.5,10207.4
10801.7,10179.9,10155.4
10694.4,10188.6,10177.4
10610.9,10183.3,10179.9
10529.5,10213.7,10210.2
10470.9,10234.8,10230.5
10386.8,10264.1,10262.5
10313.4,10272.9,10280.9
10208.2,10305.8,10312.9
10106.3,10323.2,10328.6
10037.9,10363.8,10370.9
9960.36,10368.3,10380.2
9903.74,10417.9,10424.6
9810.78,10447.8,10446.3
9787.81,10496.6,10496.4
9778.19,10540.5,10543.6
9754.49,10569.7,10573.3
9708.03,10592.2,10589.5
9706.64,10607.2,10607.8
9716.6,10624.9,10630.2
9703.08,10647.1,10651.5
9681.14,10665.2,10673.9
9679.86,10672.1,10681.4
9666.83,10664,10674.5
9670.18,10672.4,10681.8
9623.39,10810.2,10812.4
9681.41,10676.4,10689
9720.55,10591.1,10604.4
9783.08,10490.7,10502.1
9856.8,10427.1,10431.1
9916.17,10338.7,10349.9
10036.8,10291.3,10306.7
10036.5,10208.5,10211.3
10191.3,10047.9,10056.4
10076.2,10082.3,10088.4
9947.69,10255.4,10111.1
9854.62,10076,10131.3
9688.15,10168.1,10245.5
9686.7,10091.9,10169.2
9531.11,10019,10069.7
9674.52,9945.79,9998.34
9808.5,9889.17,9928.92
9962.75,9821.02,9873.09
10146.9,9831.81,9879.27
10280.3,9711.01,9756.75
10480.3,9647.27,9693.04
10551.4,9507.75,9554.13
10693,9379.89,9418.07
10679.4,9266.31,9314.66
10710.1,9067.06,9135.33
10655.9,9068.79,9126.49
10602.7,9030.67,9089.99
10560.9,9049.81,9092.64
10555.1,9094.19,9106.24
10481.1,9088.58,9098.84
10413.1,9099.56,9113.17
10349.4,9073.77,9084.48
10309.6,9097.18,9094.79
10221.2,9027.61,9030.33
10189.7,9001.57,9011.9
10053.2,8904.01,8914.68
9934.56,8808.55,8816.97
9785.67,8741.54,8752.25
9639.7,8660.05,8674.96
9492.39,8628.08,8640.82
9357.44,8595.12,8598.34
9249.32,8573.81,8582.88
9119.09,8545.93,8564.41
9081.9,8535.48,8551.95
9057.78,8553.67,8565.2
9003.03,8516.87,8531.1
8978.37,8503.19,8520.24
8951.99,8460.19,8474.61
8894.9,8418.65,8428
8910.12,8396.12,8405.64
8922.4,8365.16,8372.98
8939.83,8361.61,8371.46
8920.06,8318.38,8335.66
8966.55,8357.07,8368.7
9132.12,8375.17,8390.16
9071.57,8417.35,8422.21
9140.31,8461.31,8459.45
9203.53,8481.22,8471.16
9264.19,8526.99,8512.9
9333.18,8514.11,8491.76
9403,8498.78,8468
9502.01,8489.58,8454.64
9558.4,8525.97,8493.45
9684.51,8476.22,8434.05
9854.47,8456.63,8403.45
9899.7,8398.94,8343.56
10036.7,8380.53,8327.26
10171.3,8318.01,8259.31
10362,8280.99,8213.5
10418.4,8235.09,8171.13
10460.4,8219.04,8166.63
10502.1,8170.92,8112.22
10569.4,8140.49,8072.28
10576.5,8108.09,8042.6
10584,8080.44,8022.32
10586.7,8064.92,8003.53
10624,8044.79,7974.59
10591.5,8046.27,7982.11
10555.2,8036.58,7981.13
10536.8,8044.66,7987.55
10572.3,8043.79,7972.97
10502.3,8060.26,8000.58
10441.7,7976.92,7915.51
10377.9,8083.27,8032.71
10274.4,8176.28,8151.26
10260.2,8226.73,8207.35
10334.1,8263.84,8245.79
10220.4,8302.43,8291.56
10061.4,8277.81,8272.43
10021.2,8363.99,8364.31
9832.75,8509.2,8503.48
9936.2,8475.93,8479.78
10006.2,8446.51,8452.21
10149.7,8448.65,8442.46
10439.4,8381.3,8376.13
10426.6,8454.25,8416.69
10501.4,8475.26,8395.36
10403.4,8579.94,8501.49
10344.1,8699.99,8630.32
10208.7,8745.18,8664.57
10102.3,8803.81,8703.66
9992.48,8772.96,8729.84
9876.84,8742.04,8701.92
9781.29,8808.64,8776.16
9616.2,8844.52,8785.62
9607.01,8925.37,8868.82
9586.33,9024.44,8968.82
9569.78,9079.16,9014.9
9511.51,9169.25,9091.83
9539.78,9178.4,9097.16
9583.3,9203.02,9121.72
9589.42,9189.89,9104.13
9545.16,9148.2,9057.79
9602.75,9167.79,9075.54
9607.88,9155.66,9062.03
9701.57,9200.14,9104.01
9761.4,9240.82,9142.57
9881.96,9293.82,9194.54
9964.65,9330.87,9223.03
10123.4,9398.91,9295.08
10255.8,9450.22,9356.28
10445.9,9541.49,9449.97
10630.3,9634.64,9549.1
10752.4,9712.35,9634.2
10888.8,9778.25,9708.33
10995.9,9850.6,9786.17
11093.4,9910.33,9856.39
11164.9,9971.32,9921.78
11269.4,10033,9985.63
11271.6,10074,10032.2
11290.4,10094.3,10057
11271,10138.2,10104.4
11272.8,10176.5,10142
11226.3,10209.2,10181.1
11233.8,10254.5,10234.8
11154.1,10259.8,10242.7
11094.2,10267.4,10247.2
11036.8,10268.2,10254.9
11468.8,10271.7,10263.9
10945.9,10270.9,10266
10898,10267.9,10261
10802.1,10261.2,10265.2
10839.9,10248.4,10265.5
10667.6,10251.5,10270.3
10610.9,10239.5,10258.7
10514,10263.9,10287.3
10417,10291.6,10326.3
10330.6,10301.7,10333.2
10288.3,10251.9,10279.5
10187.2,10318.2,10344.1
10086.8,10365.7,10392.6
9993.38,10422,10440.1
9876.22,10447.1,10461.3
9795.83,10504.6,10516
9711.63,10538.8,10551.8
9655.87,10605.6,10611.1
9595.31,10656.2,10648.2
9555.16,10681.8,10677.1
9496.54,10700.4,10707.1
9484.08,10712.2,10711.2
9448.27,10722.6,10705.8
9462.48,10730.7,10719
9479.34,10752.9,10755.9
9487.8,10736.5,10731.8
9419.27,10867.4,10854.4
9503.81,10716.2,10702.6
9577.58,10650.4,10640.7
9660.04,10500.9,10484.3
9846.85,10335.3,10313.7
9805.78,10288.1,10262.1
9867.67,10174.7,10130.9
9736.9,10225.2,10194.3
9583.21,10318.2,10285.6
9516.34,10297.9,10266.4
9239.61,10389.2,10367.2
9392.42,10261.2,10235.9
9510.68,10139.2,10105.9
9673.27,10047.7,10023.8
9850.77,9983.05,9952.76
9978.36,9902.4,9889.25
10175.4,9869.62,9851.02
10257.5,9772.52,9764.95
10337.2,9750.04,9748.96
10417.7,9615.4,9627.44
10535.2,9493.55,9528.36
10565.1,9364.76,9399.63
10603.8,9217.9,9263.28
10622.5,9130.85,9168.62
10697.7,8935.35,8991.66
10655.4,8975.3,8996.9
10625.6,9019.3,8999.12
10580.4,9021.8,8985.25
10592.7,9031.37,8976.94
10498.4,9024.7,8960.55
10418,9070.1,8983.7
10322.3,9020.32,8938.55
10272.3,9006.64,8933.25
10145.2,8925.71,8853.92
10066.7,8876.95,8791.23
9900.95,8786.89,8724.36
9718.13,8694.28,8647.27
9557.37,8637.83,8612.46
9408.93,8584.89,8580.37
9287.56,8542.64,8550.01
9166.62,8498.35,8528.75
9100.25,8475.38,8503.45
9039.68,8437.89,8470.49
9002.96,8437.21,8462.12
8923.06,8443.25,8454.8
8910.23,8432.01,8447.89
8924.36,8444.93,8470.96
