Collezione 1,Collezione 2,Collezione 3
32.8391,28.0227,24.9325
30.1908,27.3021,25.4077
28.9852,27.4499,25.7561
29.7482,28.3783,26.6824
29.7461,29.7105,28.0767
108.236,29.1561,27.5915
25.2671,26.7842,25.2318
177.679,25.85,24.7432
20.0705,25.7514,24.9174
89.9741,27.1585,26.3713
15.4393,29.9455,29.4805
23.4316,20.6049,22.8448
10.9988,19.3269,19.3455
9.89496,20.2507,20.2401
10.9178,22.782,22.9193
13.811,26.053,17.3021
17.4234,22.4742,17.5399
31.2997,15.7756,17.6835
1.39704,18.9788,22.07
2.56029,22.8656,18.0463
5.24772,19.2183,19.5342
9.35356,20.3507,20.4366
3.61389,21.7076,21.8014
1.76066,25.7381,24.0741
4.10632,24.9103,24.7951
7.9229,31.0175,31.6138
12.548,30.0539,29.3147
25.1593,36.2955,35.5881
4.8017,34.807,33.4243
5.47021,37.1243,36.4334
5.46426,38.5659,36.9428
6.19779,40.6816,38.5885
5.93658,41.1395,39.098
4.99583,42.8886,40.4927
5.84181,41.6229,39.6327
8.28084,40.5869,39.3311
4.73768,41.487,37.9551
1.82853,45.5244,39.0927
3.12316,44.3251,36.7116
5.56219,41.3292,40.9204
9.51757,36.8992,34.4514
24.6833,38.7271,32.8963
0.637587,28.2644,28.7098
15.2591,20.7248,25.8847
0.812824,19.1341,26.5847
23.4945,17.3831,26.9873
6.91865,21.4762,33.5941
2.09418,27.5221,17.6556
0.802559,33.1479,13.0861
3.31224,21.6812,15.2428
6.41834,11.5703,14.5717
16.2206,23.7181,15.8726
2.19758,8.43042,8.77255
3.13504,12.8253,7.41591
3.75681,5.6081,7.05363
19.4818,12.2639,11.2525
10.7315,2.80028,3.74373
12.7789,8.44314,8.58305
10.4138,0.94263,1.81038
10.3481,7.23332,5.8172
11.1157,4.94987,3.33005
10.2219,6.48964,5.5056
9.90216,11.7106,11.6291
9.94962,4.66716,2.87116
7.84883,7.74053,5.85032
6.67718,3.96732,2.63641
7.76034,5.38062,4.09306
10.7772,2.16619,1.0736
5.65363,3.06843,1.86197
5.07456,4.55063,3.4165
4.85472,3.63888,2.04812
6.57179,4.28897,2.67701
9.65991,6.62074,4.47241
14.5944,6.06458,4.2134
2.72891,8.81229,6.56413
2.12567,12.1905,9.24572
6.19451,17.2607,13.9937
12.316,17.7368,15.0364
19.837,20.8899,18.6383
29.267,20.8869,17.6418
38.648,22.1148,19.0155
49.0503,22.8538,20.2434
23.6261,23.1518,20.7269
25.6123,23.0589,20.4187
29.162,24.4017,21.7925
33.8384,26.5191,24.1126
39.1698,27.9295,25.8061
34.2194,31.8329,28.8368
31.8897,31.0959,28.5851
150.638,31.7933,29.5551
28.4752,31.0214,27.408
55.0008,28.2679,26.0091
24.5247,26.2745,26.1384
163.133,24.4939,24.8928
19.958,23.2129,21.9588
17.561,22.0215,21.5729
14.6513,21.7196,20.7849
14.288,19.9019,19.4444
14.55,20.3343,20.4269
17.4743,19.5608,20.9078
20.1911,20.9044,21.4701
22.067,21.712,23.0757
2.75758,22.8743,23.5332
3.35111,24.1982,26.284
0.987963,24.7631,25.6635
2.35362,27.4843,28.5635
8.029,27.1417,27.6588
2.05048,28.503,30.2437
4.38229,29.566,30.3932
2.80574,30.1319,30.5097
2.62579,31.0106,31.5749
3.63253,33.0038,33.1438
5.24153,33.3315,33.1654
3.28969,33.6469,32.9948
2.47365,34.3763,34.1972
2.95243,34.5562,34.3628
4.2804,34.8002,34.4937
7.25161,36.7066,36.3649
3.02938,38.4728,36.0676
1.51019,37.5861,37.7099
2.69026,36.5235,37.0207
5.28434,37.0986,36.1828
9.30532,37.6338,37.2003
14.733,38.8679,39.2227
1.04424,43.0557,36.8662
2.10572,42.1413,41.2911
4.07702,37.2685,36.1446
6.57542,30.4919,30.7157
11.6037,27.2082,27.4794
18.2903,27.3833,27.7118
13.7726,27.5912,27.8827
13.6104,28.688,29.0043
8.39152,33.6816,33.9125
25.2775,38.9,38.981
6.46896,47.9229,19.9346
4.70158,12.3497,12.2375
4.04682,11.3282,13.5183
13.3825,12.7897,17.4703
2.32522,12.5015,11.0185
4.46169,14.858,10.6865
1.74396,16.331,9.75036
3.27355,39.4176,10.6553
2.55954,5.4713,13.0268
26.2968,23.6641,6.73212
7.31013,2.68637,2.62016
15.123,5.99048,7.23283
13.7536,2.15429,2.30059
21.1054,10.4229,11.7048
14.9244,2.21093,2.43901
20.6313,3.68409,5.88745
20.6919,3.97558,5.49788
16.5226,1.67139,2.45943
17.8484,1.8556,2.74345
19.8685,1.7734,3.57515
15.8677,2.6164,3.21359
14.1579,3.75095,3.39884
12.1594,3.068,4.05962
13.5407,3.56092,4.58661
13.9075,5.23253,5.85927
16.3196,8.03214,8.50026
0.71061,11.3072,11.0676
0.855583,11.4906,11.3622
2.47165,14.07,13.3257
6.48642,15.6795,14.8975
13.5992,19.1064,17.6421
23.2341,21.1367,19.137
34.8271,23.4271,21.0099
50.2516,26.6726,23.8144
61.9006,28.1469,25.1865
42.7015,28.7123,25.8474
29.6288,28.2814,25.2654
32.9796,27.6206,24.1665
29.7284,27.585,26.3716
29.4172,28.1801,25.9599
28.3516,28.6947,24.8167
29.9367,29.7458,26.2531
27.2536,29.2321,26.5136
26.5728,30.4186,26.9986
22.2602,28.1232,25.4463
95.7352,28.2651,25.8008
17.8392,27.7851,25.9464
107.207,28.9421,22.2037
13.5663,23.5131,21.6248
35.5598,21.3775,22.4856
9.50246,22.2432,24.8861
9.53067,24.67,21.4188
5.30833,19.9986,19.5602
4.74382,17.772,20.0002
4.99288,19.9638,18.6373
1.77371,21.9296,18.2431
1.29201,19.6247,21.3003
1.0834,19.5597,21.3014
0.593216,21.1049,21.3986
2.67195,21.8178,23.046
6.24673,24.8846,25.9174
11.6662,28.4526,24.2536
15.9037,30.4566,25.2891
