timestamp_ns,wx,wy,wz,ax,ay,az,gx,gy,gz,time_ms_loc
1749115619116148678,0.375,-0.125,0.0625,9.609999656677246,1.6699999570846558,-2.359999895095825,9.34000015258789,1.7400000095367432,-2.390000104904175,41219116
1749115619140853317,0.25,-0.1875,0.125,9.5600004196167,1.7000000476837158,-2.3399999141693115,9.34000015258789,1.7400000095367432,-2.390000104904175,41219140
1749115619161015280,0.125,0.0625,0.375,9.600000381469728,1.7000000476837158,-2.3399999141693115,9.34000015258789,1.7400000095367432,-2.390000104904175,41219161
1749115619182319331,0.0,0.0,0.625,9.579999923706056,1.690000057220459,-2.369999885559082,9.34000015258789,1.7400000095367432,-2.390000104904175,41219182
1749115619203985264,0.125,0.0625,0.75,9.56999969482422,1.659999966621399,-2.3299999237060547,9.34000015258789,1.7400000095367432,-2.390000104904175,41219203
1749115619227012137,0.125,0.1875,1.0,9.550000190734863,1.649999976158142,-2.3499999046325684,9.34000015258789,1.7400000095367432,-2.390000104904175,41219227
1749115619242012521,0.375,0.125,0.9375,9.579999923706056,1.6399999856948853,-2.3399999141693115,9.34000015258789,1.7300000190734863,-2.390000104904175,41219242
1749115619261260622,0.4375,0.125,0.75,9.619999885559082,1.6299999952316284,-2.319999933242798,9.350000381469728,1.7300000190734863,-2.390000104904175,41219261
1749115619285817360,0.625,-0.0625,0.4375,9.619999885559082,1.600000023841858,-2.3499999046325684,9.350000381469728,1.7300000190734863,-2.390000104904175,41219285
1749115619300991837,0.9375,0.0,0.1875,9.600000381469728,1.6100000143051147,-2.3499999046325684,9.350000381469728,1.7300000190734863,-2.390000104904175,41219300
1749115619317090685,0.9375,0.0,-0.0625,9.59000015258789,1.600000023841858,-2.309999942779541,9.350000381469728,1.7300000190734863,-2.390000104904175,41219317
1749115619343594042,0.9375,-0.0625,-0.3125,9.56999969482422,1.649999976158142,-2.3399999141693115,9.350000381469728,1.7300000190734863,-2.390000104904175,41219343
1749115619362173391,0.5,-0.25,-0.25,9.56999969482422,1.649999976158142,-2.319999933242798,9.350000381469728,1.7300000190734863,-2.390000104904175,41219362
1749115619387210107,0.625,-0.25,-0.25,9.56999969482422,1.6399999856948853,-2.3499999046325684,9.350000381469728,1.7300000190734863,-2.390000104904175,41219387
1749115619410023426,0.4375,-0.25,-0.375,9.59000015258789,1.649999976158142,-2.3399999141693115,9.350000381469728,1.7300000190734863,-2.390000104904175,41219410
1749115619428115056,0.25,-0.125,-0.3125,9.579999923706056,1.6799999475479126,-2.3299999237060547,9.350000381469728,1.7300000190734863,-2.390000104904175,41219428
1749115619440976092,0.4375,-0.125,-0.3125,9.600000381469728,1.659999966621399,-2.369999885559082,9.350000381469728,1.7300000190734863,-2.390000104904175,41219440
1749115619461280356,0.0,-0.125,-0.375,9.579999923706056,1.6399999856948853,-2.3499999046325684,9.350000381469728,1.7300000190734863,-2.390000104904175,41219461
1749115619480856833,-0.1875,-0.1875,-0.25,9.56999969482422,1.6299999952316284,-2.380000114440918,9.350000381469728,1.7300000190734863,-2.390000104904175,41219480
1749115619506209946,-0.0625,0.125,-0.4375,9.579999923706056,1.649999976158142,-2.369999885559082,9.350000381469728,1.7300000190734863,-2.390000104904175,41219506
1749115619516051466,-0.1875,0.0,-0.625,9.579999923706056,1.6399999856948853,-2.309999942779541,9.34000015258789,1.7300000190734863,-2.390000104904175,41219516
1749115619541148516,-0.25,-0.0625,-0.6875,9.579999923706056,1.659999966621399,-2.3499999046325684,9.34000015258789,1.7300000190734863,-2.390000104904175,41219541
1749115619569019623,-0.4375,-0.1875,-0.5625,9.56999969482422,1.659999966621399,-2.3399999141693115,9.34000015258789,1.7300000190734863,-2.390000104904175,41219569
1749115619582975445,-0.3125,-0.25,-0.625,9.579999923706056,1.649999976158142,-2.3499999046325684,9.34000015258789,1.7300000190734863,-2.390000104904175,41219582
