time,vx,vy,vz,ax,ay,az,gx,gy,gz
0.0,0.375,0.5625,0.1875,-0.016070116191501206,0.0533286533963265,0.02181836013250609,9.759995875013713,-0.4500749814486536,0.7699697522737569
0.019190272,0.5,0.375,0.1875,-0.00651992093268588,0.05210680515230491,0.02201958598334066,9.75999724012467,-0.44997058906108406,0.7699639549514007
0.038982656,0.25,0.5,0.0625,-0.006904746430742351,0.04051576013788338,0.021709932091816757,9.759995040252345,-0.4500210866616181,0.7699800040783882
0.066268928,0.1875,0.3125,-0.375,0.003823457887385912,0.03930516074245416,0.022242036296501178,9.759996778771367,-0.4499273977899498,0.769981965226052
0.075372544,0.3125,0.1875,-0.375,0.03314724413155573,-0.002547719460054637,0.021780587678691666,9.759994851105628,-0.45001829180425534,0.7699950351055312
0.10123648,0.75,-0.0625,-0.375,0.03351871730767058,-0.0029245888380897197,0.03244568829248742,9.759996908053713,-0.44989959267918644,0.770004586042643
0.120978944,0.3125,0.0,-0.25,-0.00781374729234002,0.015145147782059422,0.04169451402757972,9.759995417162504,-0.4499859507108919,0.7700126337810186
0.143144448,0.1875,0.25,0.0625,-0.026693551311752786,0.03507879303790183,0.04254156421862964,9.759997680598003,-0.44985355399548094,0.7700288956913653
0.164081664,0.0625,0.375,0.1875,-0.027638815359948925,0.04291457061904163,0.04183365645593528,9.759996744847385,-0.4499823643176221,0.7700298969787549
0.174205696,0.0,0.25,0.0,0.003745576724941281,0.04376427198662332,0.032864424672757686,9.759999045055812,-0.4498657326646219,0.7700514105065086
0.199143424,-0.3125,0.3125,0.0625,0.0022540747160455267,0.04201249421752679,0.011878798759110019,9.759998723987112,-0.4499845315647023,0.7700436439309527
0.222274816,-0.5625,0.25,-0.1875,0.003734876270522213,0.03348061744791996,0.012623624077278114,9.760000841560707,-0.44980918212432297,0.7700685706211718
0.239062272,-0.3125,0.125,-0.375,0.00252223705776607,-0.008502755751053293,0.011662588135647854,9.760001131340035,-0.4499175179452657,0.7700509338353925
0.263037952,-0.1875,0.0,-0.375,-0.025656631260824472,-0.006404178579447363,0.012693560087436735,9.760002814693625,-0.44977337116976757,0.7700773136921256
0.276898048,-0.125,0.1875,-0.375,-0.027091843858344993,-0.01773610384757997,0.01204697524540293,9.7600036525231,-0.44993135700126585,0.7700496059981143
0.299773696,0.125,0.0,-0.4375,-0.015517445621615198,-0.024705503425093183,0.01260329523857309,9.76000464396518,-0.4497548284317973,0.7700755961688349
0.3262144,0.4375,0.0625,-0.5,-0.00667253381632321,-0.01616572436916382,0.011704283045948002,9.760005920971413,-0.4498596005725232,0.7700387202469653
0.347145984,0.4375,-0.125,-0.4375,-0.004748727135062206,-0.00319106369442228,0.012019535487470904,9.760005988953782,-0.44965815277057547,0.7700628205637005
0.361316608,0.625,0.0625,-0.375,-0.005813578193273645,-0.004396960516866576,0.011970840942243769,9.76000756965863,-0.44984096938548085,0.7700188926950932
0.386920448,0.5625,0.0,-0.25,-0.01465791446469547,-0.010483708059289295,0.022254628451783533,9.760006543470118,-0.44968309615240637,0.7700400820998028
0.409154304,0.3125,0.0625,-0.0625,-0.01586239074268659,-0.011371979177882215,0.02229853733943811,9.760008288734335,-0.44986194953442726,0.769992346633923
0.43492736,0.5625,0.0625,-0.25,-0.024516493886455007,-0.02795656976878813,0.021619969982974517,9.760006090956033,-0.4496295197432643,0.7700101042668157
0.462410496,0.875,0.0,-0.375,-0.024859602254798302,-0.009386751012738654,0.02222183410876139,9.76000788050856,-0.4498470832222773,0.7699627344209441
0.515186688,1.125,-0.1875,-0.375,-0.02406954806499438,-0.015777157229645334,0.011600828561245276,9.760004552182375,-0.44967414477404427,0.7699770075919334
0.539985152,1.3125,-0.3125,-0.5625,-0.005029346676411799,-0.01659914663275551,0.013100829886171526,9.760006302632526,-0.4499685950974301,0.7699347272051864
0.568070656,1.5625,-0.5,-0.5625,-0.005013851172458356,-0.013408834587528255,0.021575301356132823,9.760002016458698,-0.44973068444826925,0.7699457102540143
0.599739904,1.75,-0.4375,-0.6875,0.0050352912765677625,0.03482307943811955,0.023244908627003985,9.760003691208293,-0.4500293485817251,0.7699132629423282
0.623178496,1.5,-0.5625,-0.5625,0.005355899823039415,0.03715100439330795,0.01122706808382867,9.75999874926274,-0.44980837899866627,0.7699212088279846
0.644035584,1.3125,-0.5625,-0.8125,0.005358713625435654,0.015821901569522324,0.004011221151963753,9.760000357905621,-0.4402199091822135,0.769902878243141
0.658308096,0.8125,-0.625,-0.8125,0.02419408558082088,-0.0019714856445626526,0.001519926072922509,9.759995172151381,-0.4399489888374909,0.7699078453373567
0.661137408,1.0,-0.5,-0.75,0.02434556012649965,-0.04396613350910143,0.0045022443841190645,9.759996758640781,-0.4403353024923587,0.7699067967484506
0.661500928,1.0625,-0.1875,-0.375,0.023708222236439713,-0.043380109360908,0.0011176447350201807,9.759991814847274,-0.4400171839038597,0.7699083605177328
0.673030144,1.0,0.1875,0.0,-0.005085601894046768,-0.045448752632209904,-0.005108204782013668,9.75999343579693,-0.44052523092582685,0.7699262598257812
0.684144128,0.875,0.125,0.1875,-0.006718507452413208,-0.044742042415786935,-0.028629123795258452,9.75998924395231,-0.44019430884972466,0.7699235532862637
